name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Garn,,https://garn.io/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,"build tool and environment manager that replaces justfiles/makefiles, docker, and the annoying parts of READMEs",,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
Garnix CI,,https://garnix.io/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,commercial,,,,Makes CI with Nix and garn fast — a few seconds for no-op changes,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
get-flake,,https://github.com/ursi/get-flake,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,builtins.getFlake without the restrictions,,,,,,,,,,,,Flakes,Libraries,,,,,,,,,,,,,,,,,,,,,,,,
go-nix,,https://github.com/nix-community/go-nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Elements of Nix re-implemented as Go libraries,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
gomod2nix,,https://github.com/nix-community/gomod2nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Convert applications using Go modules to Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
gradle2nix,,https://github.com/tadfisher/gradle2nix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Generate Nix expressions which build Gradle-based projects.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
harmonia,,https://github.com/nix-community/harmonia,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix binary cache implemented in rust,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
haskell.nix,,https://github.com/input-output-hk/haskell.nix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Alternative Haskell Infrastructure for Nixpkgs,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
haumea,,https://github.com/nix-community/haumea,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Filesystem-based module system for Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Hercules CI,,https://hercules-ci.com/,logos/a60a80e2c4e903877d2580f567ed72295def10340150aa6984d51c3f4220ba7f.svg,,,,,commercial,,,,Simple Nix-first Continous Integration.,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
home-manager,,https://github.com/nix-community/home-manager,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Manage a user environment using Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Hydra,,https://nixos.org/hydra,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,"Hydra, the Nix-based continuous build system",,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
impermanence,,https://github.com/nix-community/impermanence,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Modules to help you handle persistent state on systems with ephemeral root storage,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
install-nix-action,,https://github.com/cachix/install-nix-action,logos/76ceb4d39aaf8d4c4e7b534f5d568d468ac1395595f680c2c1958e9b3d671f78.svg,,,,,,,,,Installs Nix on GitHub Actions for Linux and macOS.,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
js2nix,,https://github.com/canva-public/js2nix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Node.js modules installation using Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
krops,,https://cgit.krebsco.de/krops/about/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,"krops is a lightweight toolkit to deploy NixOS systems, remotely or locally.",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
lanzaboote,,https://github.com/nix-community/lanzaboote,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Secure Boot for NixOS,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Lollypops,,https://github.com/pinpox/lollypops,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Lollypop Operations - NixOS Deployment Tool,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
lorri,,https://github.com/nix-community/lorri,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Your project’s nix-env,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
mach-nix,,https://github.com/DavHau/mach-nix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Create highly reproducible python environments,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Magic Nix Cache,,https://github.com/marketplace/actions/magic-nix-cache,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,,,,,,,,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary cache for Nix on GitHub Actions.",,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
mavenix,,https://github.com/nix-community/mavenix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Deterministic Maven builds using Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
mineflake,,https://github.com/nix-community/mineflake,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Declarative Minecraft server in NixOS,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Mobile NixOS,,https://mobile.nixos.org/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Nix based Linux Distribution,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
morph,,https://github.com/dbcdk/morph,logos/eb08f9588eaa6718c3a3facb6db3f67408e7202a8003efaa35399a9a72e19c4c.svg,,,,,,,,,NixOS deployment tool,,,,,,,,,,,,Infrastructure,Deployment Tools,,,,,,,,,,,,,,,,,,,,,,,,
naersk,,https://github.com/nix-community/naersk,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,"Build Rust projects in Nix - no configuration, no code generation, no IFD, sandbox friendly.",,,,,,,,,,,,Builders,Rust,,,,,,,,,,,,,,,,,,,,,,,,
namaka,,https://github.com/nix-community/namaka,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Snapshot testing for Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
napalm,,https://github.com/nix-community/napalm,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,npm packages in Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Nix Book,,https://book.divnix.com,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix Book.,,,,,,,,,,,,Documentation,Books,,,,,,,,,,,,,,,,,,,,,,,,
Nix Flake Checker,,https://github.com/DeterminateSystems/flake-checker,logos/80da512e87e21cdd766917def98cf5e6cd50826beb584505c4bb42bbd79778b2.svg,,,,,community,,,,Health and security checks on your flakes.,,,,,,,,,,,,Infrastructure,Security,,,,,,,,,,,,,,,,,,,,,,,,
Nix Manual,,https://nixos.org/manual/nix/stable/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,official,,,,Nix Reference Manual.,,,,,,,,,,,,Documentation,Books,,,,,,,,,,,,,,,,,,,,,,,,
Nix Pills,,https://nixos.org/guides/nix-pills/pr01,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix Pills,,,,,,,,,,,,Documentation,Tutorials,,,,,,,,,,,,,,,,,,,,,,,,
nix-dart,,https://github.com/tadfisher/nix-dart,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix builder for Dart packages,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-darvin,,https://github.com/LnL7/nix-darwin,logos/09e0342db0b7aba1cc66ea89f4c1e7708e73f0667f10c027ed42e38885f4c07e.svg,,,,,,,,,nix modules for darwin,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-devcontainer,,https://github.com/xtruder/nix-devcontainer,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Swiss army knife container for vscode development environments,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-editor,,https://github.com/replit/nix-editor,logos/c71ec0643b7390ade8a65b90272803e3676d058f3f95a425150f157f476adf85.svg,,,,,,,,,An automatic editor for replit.nix files,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-env-selector,,https://github.com/arrterian/nix-env-selector,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Allows switch environment for Visual Studio Code using Nix Package Manager.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-environments,,https://github.com/nix-community/nix-environments,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,out-of-tree shell.nix files,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-eval-jobs,,https://github.com/nix-community/nix-eval-jobs,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Parallel nix evaluator with a streamable json output,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-gl-host,,https://github.com/numtide/nix-gl-host,logos/1e9835937ad8dd0a23988d0ea9febd6e0ccd6c1e184c47398b886047db9c9c1c.svg,,,,,,,,,"Run OpenGL/Cuda programs built with Nix, on all Linux distributions.",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-hour,,https://www.youtube.com/playlist?list=PLyzwHTVJlRc8yjlx4VR4LU5A5O44og9in,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Questions for the weekly Nix Hour.,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-index,,https://github.com/nix-community/nix-index,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Quickly locate nix packages with specific files,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-index-database,,https://github.com/nix-community/nix-index-database,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Weekly updated nix-index database,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-init,,https://github.com/nix-community/nix-init,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Generate Nix packages from URLs,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-ld-rs,,https://github.com/nix-community/nix-ld-rs,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Run unpatched dynamic binaries on NixOS,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-marp,,https://github.com/tweag/nix-marp,logos/56acbc652a317c09f5ffa03211f3895462c4f39452548bb99a2d9819582f0fad.svg,,,,,,,,,Run Marp tools via Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
nix-melt,,https://github.com/nix-community/nix-melt,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A ranger-like flake.lock viewer,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
